,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,Lahat,-3.8,103.5333,76.46,89,99,0.74,ID,1628127746
313,Yartsevo,55.0667,32.6964,54.34,82,100,4.74,RU,1628127746
314,Yarega,63.4354,53.5765,57.94,79,100,4.81,RU,1628127746
315,Tomatlán,19.9333,-105.25,78.26,92,100,0.92,MX,1628127747
316,Basco,20.4487,121.9702,83.7,84,98,34.18,PH,1628127747
317,Nantucket,41.2835,-70.0995,67.03,96,100,25.43,US,1628127747
318,Bayeux,-7.125,-34.9322,70.43,94,75,8.05,BR,1628127748
319,Bagan,54.1001,77.6646,63.73,77,45,8.3,RU,1628127748
320,Ambilobe,-13.2,49.05,62.02,85,5,4.03,MG,1628127619
321,Jūybār,36.6412,52.9124,73.56,53,64,3.62,IR,1628127748
322,Metro,-5.1131,105.3067,82.85,70,93,4.65,ID,1628127749
323,Burgeo,47.6167,-57.6152,57.42,77,100,6.29,CA,1628127749
324,Bethel,41.3712,-73.414,68.72,86,100,3.58,US,1628127511
325,Piła,53.1515,16.7378,53.58,87,80,5.53,PL,1628127749
326,San Borja,-14.8167,-66.85,68.7,52,66,3.78,BO,1628127750
327,Kununurra,-15.7667,128.7333,75.18,19,99,16.11,AU,1628127539
328,Venice,27.0998,-82.4543,82.98,84,40,11.5,US,1628127512
329,Mâncio Lima,-7.6142,-72.8958,70.59,59,4,1.77,BR,1628127750
330,Vitim,59.4511,112.5578,66.51,71,92,4.05,RU,1628127750
331,Sivas Province,39.7916,37.0019,56.03,100,0,6.91,TR,1628127751
332,Ayan,56.45,138.1667,56.73,88,87,4.72,RU,1628127751
333,Akusha,42.2688,47.3411,64.38,63,8,5.79,RU,1628127751
334,Kirakira,-10.4544,161.9205,82.65,64,57,5.35,SB,1628127752
335,Souillac,-20.5167,57.5167,68.38,64,40,12.66,MU,1628127526
336,Berekum,7.4534,-2.584,70.21,97,94,6.96,GH,1628127752
337,Noumea,-22.2763,166.4572,78.01,99,23,15.73,NC,1628127752
338,Nishifukuma,33.7667,130.4667,91.4,59,11,3.31,JP,1628127753
339,San Cristobal,7.7669,-72.225,75.38,97,96,4.12,VE,1628127753
340,Mehamn,71.0357,27.8492,47.05,92,100,16.33,NO,1628127501
341,Henties Bay,-22.116,14.2845,55.85,83,12,5.91,NA,1628127711
342,Grindavik,63.8424,-22.4338,55.35,100,75,3.44,IS,1628127535
343,Kavaratti,10.5669,72.642,82.2,79,100,19.73,IN,1628127548
344,Praia,14.9215,-23.5087,78.22,89,100,4.29,CV,1628127754
345,Muriaé,-21.1306,-42.3664,62.42,87,73,3.58,BR,1628127754
346,Lata,40.1629,-8.3327,65.05,98,16,1.41,PT,1628127552
347,Beringovskiy,63.05,179.3167,48.58,93,100,28.99,RU,1628127754
348,Ossora,59.2353,163.0719,52.75,59,91,16.26,RU,1628127755
349,Constitución,-35.3333,-72.4167,52.63,84,100,10.92,CL,1628127536
350,Novomykolayivka,47.9781,35.9102,68.25,56,57,4.74,UA,1628127755
351,Baruun-Urt,46.6806,113.2792,62.29,68,99,5.53,MN,1628127755
352,Kharp,66.8014,65.8081,65.7,71,88,5.46,RU,1628127756
353,Castro,-24.7911,-50.0119,46.36,97,65,5.99,BR,1628127499
354,Benguela,-12.5763,13.4055,68.72,89,10,0.98,AO,1628127657
355,Umm Kaddadah,13.6017,26.6876,78.73,64,85,5.61,SD,1628127571
